case_id,pod_name,model_name,gpu_type,gpu_num,group_name,group_id,sea_qps,sea_fpr,sea_token_size,mea_iips,mea_total_iterations,mea_avg_iteration_duration_us,mea_std_iteration_duration_us,mea_mie,gpu_utilization,oea_overall_efficiency,oea_total_compute_time_us,oea_total_flops,oea_memory_utilization,oea_bottleneck_1_operator,oea_bottleneck_1_score,oea_bottleneck_1_efficiency,oea_bottleneck_1_time_proportion,oea_bottleneck_2_operator,oea_bottleneck_2_score,oea_bottleneck_2_efficiency,oea_bottleneck_2_time_proportion,oea_bottleneck_3_operator,oea_bottleneck_3_score,oea_bottleneck_3_efficiency,oea_bottleneck_3_time_proportion,oea_bottleneck_4_operator,oea_bottleneck_4_score,oea_bottleneck_4_efficiency,oea_bottleneck_4_time_proportion,oea_bottleneck_5_operator,oea_bottleneck_5_score,oea_bottleneck_5_efficiency,oea_bottleneck_5_time_proportion,hw_mem_bandwidth_gbps,hw_fp16_tflops,hw_memory_size_gb
1,Qwen2.5-14B_batch1_input2048_output10,Qwen2.5-14B,L20,1,vLLM Framework,0,1,115.6521,2048,10.948817925581128,10,91334.06060791017,,5.2770683002232275,96.78,0.0717166349216892,935339.3000000007,8015986759168,3.2472773212073904e-07,gate_up_proj,0.4209334936676354,0.03806456183916168,0.43759017182320936,down_proj,0.21153587490317144,0.037879466271433584,0.2198642139809584,qkv_proj,0.11190727856707465,0.03715528415395531,0.11622567660740864,activation,0.08052388375885036,0.001209096301755754,0.08062136275039437,o_proj,0.07924073587889639,0.03746806640801374,0.08232530590770638,864.0,119.5,48.0
2,Qwen2.5-3B_batch1_input2048_output10,Qwen2.5-3B,L20,1,vLLM Framework,0,1,107.2393,2048,43.65545115298872,10,22906.64678955078,,1.2272185622878895,89.74,0.1610499520348964,207242.57299999992,3988480569728,4.378210811690392e-07,gate_up_proj,0.45485475975393763,0.03798260380052241,0.4728134455269476,down_proj,0.23482480540497574,0.03683014808989095,0.2438041482914807,activation,0.0637080878706008,0.005152576010130865,0.06403804878450342,qkv_proj,0.058264848237855896,0.03460005202642512,0.06035306751378729,o_proj,0.04961681619062998,0.032572828686701846,0.05128739161137509,864.0,119.5,48.0
3,Qwen3-14B_batch8_input128_output10,Qwen3-14B,H800,1,vLLM Framework,0,8,86.4756875,1024,46.62793857399754,10,21446.369506835938,,14.83671637986139,69.95,0.05896998291778036,303408.14499999984,17695161423360,1.543399088426107e-06,gate_up_proj,0.45329273250467106,0.042261434172887476,0.4732948517252231,down_proj,0.22746656671201654,0.04211546544328752,0.23746762632229257,qkv_proj,0.11437596357323834,0.022167164422089915,0.1169688308796062,o_proj,0.08377872495419326,0.0216283003228817,0.0856307730301703,lm_head,0.030527505614557224,0.04310846097010674,0.031902785602542096,3350.0,989.0,80.0
4,Qwen2.5-14B_batch8_input128_output10,Qwen2.5-14B,H800,1,vLLM Framework,0,8,81.9262875,1024,43.65817373905925,10,22905.218298339845,,15.012315996480408,66.27,0.04712389815617117,338067.99999999977,15755840099840,1.0893107763491203e-06,gate_up_proj,0.36867500463437547,0.02838576527896025,0.37944586592046564,down_proj,0.2002539436840134,0.026188713424501284,0.20563937432705845,activation,0.13100972462567373,0.0004972310295590185,0.13107489913271883,qkv_proj,0.11922311939731806,0.022885977871265027,0.12201556491593402,o_proj,0.09290621482831975,0.02101777379496249,0.0949008187701883,3350.0,989.0,80.0
5,Llama-3.1-8B_batch8_input128_output10,Llama-3.1-8B,H800,1,vLLM Framework,0,8,79.12,1024,72.45747848972562,10,13801.197900390624,,8.73560622303125,64.0,0.12150542821977314,79381.60199999998,9539197292800,2.4867137240838474e-06,gate_up_proj,0.4251642531386568,0.05631180062589798,0.45053467174925527,down_proj,0.2077792000675427,0.05753858113146251,0.22046440937284192,qkv_proj,0.10445689254459035,0.0494708302637818,0.10989341081829003,o_proj,0.07059897388760546,0.04883028063055748,0.07422331940340524,lm_head,0.04654815951022003,0.07080360514757839,0.050095071147594136,3350.0,989.0,80.0
6,Qwen2.5-7B_batch8_input128_output10,Qwen2.5-7B,H800,1,vLLM Framework,0,8,70.46624999999999,1024,68.41324118073088,10,14617.053405761717,,8.240071516430051,57.0,0.09741355279494923,74176.30899999996,7146294237184,2.2917092765450655e-06,gate_up_proj,0.4610391791736414,0.05623028388029181,0.48850813000145366,down_proj,0.2325475416651588,0.05576726866540518,0.24628201707906494,qkv_proj,0.06798833069745076,0.04683664937577339,0.07132914904137387,o_proj,0.05370508824298902,0.04615013545581607,0.05630350251048477,lm_head,0.04957989984977422,0.07358185957879908,0.05351784219945483,3350.0,989.0,80.0
7,Llama-3.2-3B_batch8_input128_output10,Llama-3.2-3B,H800,1,vLLM Framework,0,8,48.8936875,1024,84.24211199853255,10,11870.547595214843,,4.643158756594488,39.55,0.3287728977140982,38497.51700000002,12517713876480,8.676115500960136e-06,gate_up_proj,0.24229738966948006,0.31291693924133057,0.3526464317166224,down_proj,0.13519108099694355,0.2898345102159019,0.19036560202051472,qkv_proj,0.11400163959251315,0.11148729817853917,0.12830614504306864,o_proj,0.08050642513312986,0.11262192899827485,0.09072392902638378,lm_head,0.06775317093800849,0.13791352128837625,0.07859208166594221,3350.0,989.0,80.0
8,Qwen2.5-3B_batch8_input128_output10,Qwen2.5-3B,H800,1,vLLM Framework,0,8,44.826425,1024,73.27809376227462,10,13646.643200683597,,4.893841823497626,36.26,0.19939102602351252,40005.26100000001,7888946446720,2.7470331505645685e-06,gate_up_proj,0.37296354153541705,0.055088158019345704,0.394707236130768,down_proj,0.2282079577309682,0.0454737165958996,0.23907980502864368,qkv_proj,0.07525483298776765,0.032504931270821956,0.07778316956862241,o_proj,0.06739979994505338,0.029135657197282602,0.06942246920973719,lm_head,0.05263391754441962,0.07339838181001854,0.05680317896188702,3350.0,989.0,80.0
9,Qwen2.5-32B_batch8_input128_output10,Qwen2.5-32B,A100,1,vLLM Framework,0,8,35.9697,1024,12.544255523270545,10,79717.76389160156,,22.939392414813927,92.23,0.11736644775516117,766407.9610000006,28064580933120,9.966886027112547e-07,gate_up_proj,0.4382618755383526,0.08394463574785119,0.4784229126763989,down_proj,0.23641003737915556,0.0782895046361092,0.2564905559481787,activation,0.08797060612032895,0.0013793205833202795,0.08809211338554981,qkv_proj,0.07325038849274092,0.06635605415778532,0.07845644886248766,o_proj,0.05482982346673221,0.06351347150828983,0.05854843801655131,2039.0,312.0,80.0
10,Qwen3-14B_batch8_input128_output10,Qwen3-14B,A800,1,vLLM Framework,0,8,35.267700000000005,1024,27.744705007888705,10,36042.913403320315,,10.16920525627424,90.43,0.05896998291778036,303408.14499999984,17695161423360,1.543399088426107e-06,gate_up_proj,0.45329273250467106,0.042261434172887476,0.4732948517252231,down_proj,0.22746656671201654,0.04211546544328752,0.23746762632229257,qkv_proj,0.11437596357323834,0.022167164422089915,0.1169688308796062,o_proj,0.08377872495419326,0.0216283003228817,0.0856307730301703,lm_head,0.030527505614557224,0.04310846097010674,0.031902785602542096,2039.0,312.0,80.0
11,Qwen3-14B_batch8_input128_output10,Qwen3-14B,A100,1,vLLM Framework,0,8,35.0883,1024,25.57536849048366,10,39100.1208984375,,10.975654176965154,89.97,0.05896998291778036,303408.14499999984,17695161423360,1.543399088426107e-06,gate_up_proj,0.45329273250467106,0.042261434172887476,0.4732948517252231,down_proj,0.22746656671201654,0.04211546544328752,0.23746762632229257,qkv_proj,0.11437596357323834,0.022167164422089915,0.1169688308796062,o_proj,0.08377872495419326,0.0216283003228817,0.0856307730301703,lm_head,0.030527505614557224,0.04310846097010674,0.031902785602542096,2039.0,312.0,80.0
12,Qwen3-4B_batch8_input128_output10,Qwen3-4B,H800,1,vLLM Framework,0,8,34.886975,1024,46.880311903230464,10,21330.916101074217,,5.9533690939621895,28.22,0.33212151290907194,48617.634,15969345574400,8.711301453820651e-06,gate_up_proj,0.25569240370893226,0.3052534149309014,0.36803693491131223,down_proj,0.13639374861496895,0.29170394282625367,0.1925660142161589,qkv_proj,0.11559519013840544,0.11188815562513296,0.13015837010908432,o_proj,0.08528128242388947,0.10871535379992718,0.09568355383151723,lm_head,0.049929061747223,0.1466835038057075,0.05851177373214007,3350.0,989.0,80.0
13,Qwen2.5-14B_batch8_input128_output10,Qwen2.5-14B,A800,1,vLLM Framework,0,8,34.4097,1024,27.535239128127117,10,36317.09880371094,,9.99728379764842,88.23,0.04712389815617117,338067.99999999977,15755840099840,1.0893107763491203e-06,gate_up_proj,0.36867500463437547,0.02838576527896025,0.37944586592046564,down_proj,0.2002539436840134,0.026188713424501284,0.20563937432705845,activation,0.13100972462567373,0.0004972310295590185,0.13107489913271883,qkv_proj,0.11922311939731806,0.022885977871265027,0.12201556491593402,o_proj,0.09290621482831975,0.02101777379496249,0.0949008187701883,2039.0,312.0,80.0
