Case,GEMM_Percentage,Attention_Percentage,Normalization_Percentage,Activation_Percentage,Sampling_Percentage,Embedding_Percentage,Memory_Percentage,Utility_Percentage,Communication_Percentage,Others_Percentage,Total_Duration_ms
qwen2-7b-query,90.3370709469336,5.510711038031605,0.592301738568838,0.8958305710987798,2.1355601968284037,0.0,0.1779939955765447,0.35053151295340423,0.0,8.842101212506916e-12,6267.027696000559
qwen2-ast-sft,75.15968839374806,18.248880780608037,1.9319556878206818,3.2373488885935116,0.035873854626283445,0.027562229834883326,0.007007088945155079,1.3509781594595431,0.0,0.0007049163638480966,453.9545629999992
qwen3-32b-omega,61.521919473254215,30.193584969830596,1.5445037113991356,1.1224243654708517,0.20559000522156465,0.006288732482421925,0.16587005218272782,0.6064619805382793,4.632583841620455,0.0007728679997583669,9663.616662001095
recommend-intent,83.5230457648441,8.749923076684105,3.863032714204897,2.3462006106722058,0.018982135521161465,0.03028181334963821,0.06283336961150325,1.4011929955869817,0.0,0.004507519525420081,3678.8747989998105
