pod_name,model_name,batch_size,token_size,GPU_type,iteration,GPU_util,qps,seq_len,FPR
Llama-3.1-8B_batch128_input128_output10,Llama-3.1-8B,128,16384,H800,10,95.87,128,128,7.40745546875
Llama-3.2-3B_batch128_input128_output10,Llama-3.2-3B,128,16384,H800,10,91.33,128,128,7.05666953125
Qwen2.5-14B_batch128_input128_output10,Qwen2.5-14B,128,16384,H800,10,97.26,128,128,7.5148546875
Qwen2.5-32B_batch8_input128_output10,Qwen2.5-32B,8,1024,H800,10,92.93,8,128,114.8847125
Qwen2.5-32B_batch8_input1024_output10,Qwen2.5-32B,8,8192,H800,10,97.03,8,1024,119.9533375
Qwen2.5-3B_batch128_input128_output10,Qwen2.5-3B,128,16384,H800,10,91.12,128,128,7.04044375
Qwen2.5-7B_batch128_input128_output10,Qwen2.5-7B,128,16384,H800,10,95.59,128,128,7.385821093750001
Qwen3-14B_batch4_input2048_output10,Qwen3-14B,4,8192,H800,10,93.64,4,2048,231.5249
Qwen3-14B_batch8_input1024_output10,Qwen3-14B,8,8192,H800,10,95.83,8,1024,118.4698375
Qwen3-30B-A3B_batch128_input128_output10,Qwen3-30B-A3B,128,16384,H800,10,88.19,128,128,6.81405546875
Qwen3-32B_batch8_input128_output10,Qwen3-32B,8,1024,H800,10,92.63,8,128,114.5138375
Qwen3-32B_batch8_input1024_output10,Qwen3-32B,8,8192,H800,10,97.18,8,1024,120.138775
Qwen3-4B_batch128_input128_output10,Qwen3-4B,128,16384,H800,10,88.49,128,128,6.837235156249999
Qwen3-8B_batch128_input128_output10,Qwen3-8B,128,16384,H800,10,93.93,128,128,7.25756015625
Llama-3.1-8B_batch128_input128_output10,Llama-3.1-8B,128,16384,L20,10,99.44,128,128,0.928365625
Llama-3.1-8B_batch1_input1024_output10,Llama-3.1-8B,1,1024,L20,10,96.52,1,1024,115.3414
Llama-3.2-3B_batch128_input128_output10,Llama-3.2-3B,128,16384,L20,10,98.75,128,128,0.921923828125
Llama-3.2-3B_batch1_input1024_output10,Llama-3.2-3B,1,1024,L20,10,92.93,1,1024,111.05135
Qwen2.5-14B_batch4_input2048_output10,Qwen2.5-14B,4,8192,L20,10,99.3,4,2048,29.665875
Qwen2.5-14B_batch8_input1024_output10,Qwen2.5-14B,8,8192,L20,10,99.39,8,1024,14.84638125
Qwen2.5-3B_batch128_input128_output10,Qwen2.5-3B,128,16384,L20,10,98.78,128,128,0.92220390625
Qwen2.5-3B_batch1_input1024_output10,Qwen2.5-3B,1,1024,L20,10,91.27,1,1024,109.06765
Qwen2.5-7B_batch4_input2048_output10,Qwen2.5-7B,4,8192,L20,10,99.04,4,2048,29.5882
Qwen2.5-7B_batch8_input1024_output10,Qwen2.5-7B,8,8192,L20,10,98.88,8,1024,14.7702
Qwen3-14B_batch4_input2048_output10,Qwen3-14B,4,8192,L20,10,99.29,4,2048,29.662887500000004
Qwen3-14B_batch8_input1024_output10,Qwen3-14B,8,8192,L20,10,99.39,8,1024,14.84638125
Qwen3-4B_batch128_input128_output10,Qwen3-4B,128,16384,L20,10,99.18,128,128,0.92593828125
Qwen3-4B_batch1_input1024_output10,Qwen3-4B,1,1024,L20,10,94.29,1,1024,112.67655
Qwen3-8B_batch128_input128_output10,Qwen3-8B,128,16384,L20,10,99.18,128,128,0.92593828125
Qwen3-8B_batch1_input1024_output10,Qwen3-8B,1,1024,L20,10,96.08,1,1024,114.8156
