pod_name,model_name,batch_size,token_size,GPU_type,iteration,GPU_util,qps,seq_len,FPR
Qwen3-4B_batch128_input1024_output10,Qwen3-4B,128,131072,H20,10,93.34,128,1024,1.07924375
Qwen3-4B_batch8_input128_output10,Qwen3-4B,8,1024,H20,10,63.36,8,128,11.7216
Qwen3-8B_batch128_input1024_output10,Qwen3-8B,128,131072,H20,10,96.85,128,1024,1.119828125
Qwen3-8B_batch8_input128_output10,Qwen3-8B,8,1024,H20,10,72.91,8,128,13.48835
Llama-3.1-8B_batch128_input1024_output10,Llama-3.1-8B,128,131072,H800,10,86.67,128,1024,6.69661171875
Llama-3.1-8B_batch8_input128_output10,Llama-3.1-8B,8,1024,H800,10,64.0,8,128,79.12
Llama-3.2-3B_batch128_input1024_output10,Llama-3.2-3B,128,131072,H800,10,73.85,128,1024,5.70606640625
Llama-3.2-3B_batch8_input128_output10,Llama-3.2-3B,8,1024,H800,10,39.55,8,128,48.8936875
Qwen2.5-14B_batch128_input1024_output10,Qwen2.5-14B,128,131072,H800,10,92.5,128,1024,7.1470703125
Qwen2.5-14B_batch8_input128_output10,Qwen2.5-14B,8,1024,H800,10,66.27,8,128,81.9262875
Qwen2.5-3B_batch128_input1024_output10,Qwen2.5-3B,128,131072,H800,10,73.66,128,1024,5.6913859375
Qwen2.5-3B_batch8_input128_output10,Qwen2.5-3B,8,1024,H800,10,36.26,8,128,44.826425
Qwen2.5-7B_batch128_input1024_output10,Qwen2.5-7B,128,131072,H800,10,84.23,128,1024,6.50808359375
Qwen2.5-7B_batch8_input128_output10,Qwen2.5-7B,8,1024,H800,10,57.0,8,128,70.46624999999999
Qwen3-14B_batch128_input1024_output10,Qwen3-14B,128,131072,H800,10,93.99,128,1024,7.26219609375
Qwen3-14B_batch8_input128_output10,Qwen3-14B,8,1024,H800,10,69.95,8,128,86.4756875
Qwen3-30B-A3B_batch128_input1024_output10,Qwen3-30B-A3B,128,131072,H800,10,80.2,128,1024,6.196703125
Qwen3-30B-A3B_batch8_input128_output10,Qwen3-30B-A3B,8,1024,H800,10,12.76,8,128,15.77455
Qwen3-4B_batch128_input1024_output10,Qwen3-4B,128,131072,H800,10,76.58,128,1024,5.9170015625
Qwen3-4B_batch8_input128_output10,Qwen3-4B,8,1024,H800,10,28.22,8,128,34.886975
Qwen3-8B_batch128_input1024_output10,Qwen3-8B,128,131072,H800,10,89.21,128,1024,6.89286640625
Qwen3-8B_batch8_input128_output10,Qwen3-8B,8,1024,H800,10,22.09,8,128,27.308762499999997
Llama-3.1-8B_batch128_input1024_output10,Llama-3.1-8B,128,131072,L20,10,99.0,128,1024,0.9242578125
Llama-3.1-8B_batch8_input128_output10,Llama-3.1-8B,8,1024,L20,10,90.04,8,128,13.449725
Llama-3.2-3B_batch128_input1024_output10,Llama-3.2-3B,128,131072,L20,10,97.52,128,1024,0.910440625
Llama-3.2-3B_batch8_input128_output10,Llama-3.2-3B,8,1024,L20,10,82.28,8,128,12.290575
Qwen2.5-14B_batch128_input1024_output10,Qwen2.5-14B,128,131072,L20,10,99.14,128,1024,0.92556484375
Qwen2.5-14B_batch1_input2048_output10,Qwen2.5-14B,1,2048,L20,10,96.78,1,2048,115.6521
Qwen2.5-3B_batch128_input1024_output10,Qwen2.5-3B,128,131072,L20,10,96.7,128,1024,0.90278515625
Qwen2.5-3B_batch1_input2048_output10,Qwen2.5-3B,1,2048,L20,10,89.74,1,2048,107.2393
Qwen2.5-7B_batch128_input1024_output10,Qwen2.5-7B,128,131072,L20,10,98.5,128,1024,0.91958984375
Qwen2.5-7B_batch8_input128_output10,Qwen2.5-7B,8,1024,L20,10,92.53,8,128,13.82166875
Qwen3-14B_batch128_input1024_output10,Qwen3-14B,128,131072,L20,10,99.29,128,1024,0.926965234375
Qwen3-14B_batch8_input128_output10,Qwen3-14B,8,1024,L20,10,95.41,8,128,14.25186875
Qwen3-4B_batch128_input1024_output10,Qwen3-4B,128,131072,L20,10,97.71,128,1024,0.912214453125
Qwen3-4B_batch8_input128_output10,Qwen3-4B,8,1024,L20,10,88.31,8,128,13.19130625
Qwen3-8B_batch128_input1024_output10,Qwen3-8B,128,131072,L20,10,98.63,128,1024,0.920803515625
Qwen3-8B_batch8_input128_output10,Qwen3-8B,8,1024,L20,10,93.09,8,128,13.90531875
